filename,width,height,class,xmin,ymin,xmax,ymax
burger_1_img_2_0.jpg,1024,1024,bun,479,181,670,538
burger_1_img_2_1.jpg,1024,1024,bun,511,243,664,543
burger_1_img_2_2.jpg,1024,1024,bun,495,266,663,572
burger_1_img_2_3.jpg,1024,1024,bun,205,331,444,610
burger_1_img_29_0.jpg,1024,1024,ketchup,224,322,442,687
burger_1_img_29_0.jpg,1024,1024,beef_patty,476,218,725,619
burger_1_img_29_1.jpg,1024,1024,ketchup,538,391,776,720
burger_1_img_29_1.jpg,1024,1024,beef_patty,231,311,504,673
burger_1_img_29_2.jpg,1024,1024,ketchup,320,320,492,656
burger_1_img_29_2.jpg,1024,1024,beef_patty,515,375,711,744
burger_1_img_29_3.jpg,1024,1024,ketchup,304,326,473,656
burger_1_img_29_3.jpg,1024,1024,beef_patty,498,234,692,596
burger_1_img_15_0.jpg,1024,1024,bun,638,359,816,628
burger_1_img_15_0.jpg,1024,1024,lettuce,401,415,600,697
burger_1_img_15_1.jpg,1024,1024,bun,653,396,856,712
burger_1_img_15_1.jpg,1024,1024,lettuce,390,341,616,675
burger_1_img_15_2.jpg,1024,1024,bun,279,397,458,675
burger_1_img_15_2.jpg,1024,1024,lettuce,494,323,693,615
burger_1_img_15_3.jpg,1024,1024,bun,270,306,445,671
burger_1_img_15_3.jpg,1024,1024,lettuce,480,211,675,595
burger_4_img_10_0.jpg,1024,1024,mayonaise,498,231,756,675
burger_4_img_10_0.jpg,1024,1024,ketchup,60,206,333,643
burger_4_img_10_1.jpg,1024,1024,mayonaise,215,224,463,629
burger_4_img_10_1.jpg,1024,1024,ketchup,616,219,878,618
burger_4_img_10_2.jpg,1024,1024,mayonaise,566,289,828,629
burger_4_img_10_2.jpg,1024,1024,ketchup,121,251,397,586
burger_4_img_10_3.jpg,1024,1024,mayonaise,511,287,687,630
burger_4_img_10_3.jpg,1024,1024,ketchup,210,252,397,590
burger_4_img_11_0.jpg,1024,1024,mayonaise,215,472,486,873
burger_4_img_11_0.jpg,1024,1024,ketchup,652,476,939,871
burger_4_img_11_1.jpg,1024,1024,mayonaise,294,209,513,596
burger_4_img_11_1.jpg,1024,1024,ketchup,646,203,877,585
burger_4_img_11_2.jpg,1024,1024,mayonaise,269,223,494,642
burger_4_img_11_2.jpg,1024,1024,ketchup,636,204,874,617
burger_4_img_11_3.jpg,1024,1024,mayonaise,271,250,527,584
burger_4_img_11_3.jpg,1024,1024,ketchup,688,250,958,580
burger_1_img_14_0.jpg,1024,1024,bun,367,363,531,700
burger_1_img_14_0.jpg,1024,1024,lettuce,556,280,719,627
burger_1_img_14_1.jpg,1024,1024,bun,609,315,805,701
burger_1_img_14_1.jpg,1024,1024,lettuce,382,250,577,649
burger_1_img_14_2.jpg,1024,1024,bun,266,335,463,739
burger_1_img_14_2.jpg,1024,1024,lettuce,496,237,692,655
burger_1_img_14_3.jpg,1024,1024,bun,627,397,850,754
burger_1_img_14_3.jpg,1024,1024,lettuce,372,301,593,669
burger_1_img_28_0.jpg,1024,1024,ketchup,558,349,708,759
burger_1_img_28_0.jpg,1024,1024,beef_patty,367,243,532,669
burger_1_img_28_1.jpg,1024,1024,ketchup,535,249,714,676
burger_1_img_28_1.jpg,1024,1024,beef_patty,315,159,513,604
burger_1_img_28_2.jpg,1024,1024,ketchup,326,344,510,641
burger_1_img_28_2.jpg,1024,1024,beef_patty,540,277,743,587
burger_1_img_28_3.jpg,1024,1024,ketchup,307,350,461,617
burger_1_img_28_3.jpg,1024,1024,beef_patty,484,413,654,692
burger_1_img_3_0.jpg,1024,1024,bun,187,165,417,556
burger_1_img_3_0.jpg,1024,1024,bun,501,128,734,521
burger_1_img_3_1.jpg,1024,1024,bun,523,252,725,624
burger_1_img_3_1.jpg,1024,1024,bun,229,243,435,618
