filename,width,height,class,xmin,ymin,xmax,ymax
burger_1_img_2_0.jpg,512,512,bun,207,198,299,267
burger_1_img_2_1.jpg,512,512,bun,236,173,331,266
burger_1_img_2_2.jpg,512,512,bun,140,147,247,251
burger_1_img_2_3.jpg,512,512,bun,158,234,253,327
burger_1_img_29_0.jpg,512,512,ketchup,100,179,219,290
burger_1_img_29_0.jpg,512,512,beef_patty,233,140,369,262
burger_1_img_29_1.jpg,512,512,ketchup,124,201,215,313
burger_1_img_29_1.jpg,512,512,beef_patty,226,171,330,295
burger_1_img_29_2.jpg,512,512,ketchup,149,201,232,312
burger_1_img_29_2.jpg,512,512,beef_patty,238,228,334,350
burger_1_img_29_3.jpg,512,512,ketchup,305,189,405,268
burger_1_img_29_3.jpg,512,512,beef_patty,174,164,289,251
burger_1_img_15_0.jpg,512,512,bun,142,205,241,287
burger_1_img_15_0.jpg,512,512,lettuce,261,190,372,275
burger_1_img_15_1.jpg,512,512,bun,111,195,225,313
burger_1_img_15_1.jpg,512,512,lettuce,246,173,373,297
burger_1_img_15_2.jpg,512,512,bun,268,216,342,304
burger_1_img_15_2.jpg,512,512,lettuce,172,235,254,327
burger_1_img_15_3.jpg,512,512,bun,299,216,400,321
burger_1_img_15_3.jpg,512,512,lettuce,166,189,278,300
burger_4_img_10_0.jpg,512,512,mayonaise,160,189,256,286
burger_4_img_10_0.jpg,512,512,ketchup,312,175,414,271
burger_4_img_10_1.jpg,512,512,mayonaise,131,150,238,283
burger_4_img_10_1.jpg,512,512,ketchup,302,132,415,262
burger_4_img_10_2.jpg,512,512,mayonaise,159,168,252,276
burger_4_img_10_2.jpg,512,512,ketchup,311,161,409,267
burger_4_img_10_3.jpg,512,512,mayonaise,259,198,365,294
burger_4_img_10_3.jpg,512,512,ketchup,78,193,191,288
burger_4_img_11_0.jpg,512,512,mayonaise,124,155,233,290
burger_4_img_11_0.jpg,512,512,ketchup,306,144,422,276
burger_4_img_11_1.jpg,512,512,mayonaise,257,175,358,300
burger_4_img_11_1.jpg,512,512,ketchup,92,159,198,282
burger_4_img_11_2.jpg,512,512,mayonaise,235,180,371,277
burger_4_img_11_2.jpg,512,512,ketchup,6,181,150,278
burger_4_img_11_3.jpg,512,512,mayonaise,280,164,382,290
burger_4_img_11_3.jpg,512,512,ketchup,110,149,218,273
